DATE,EVENT
5/21/1918,Ottomans invade Armenia.
5/24/1918,"Battle of Karakilisa, a phase of the invasion of Armenia."
5/27/1918,"Third Battle of the Aisne (aka Operation Bl?¨cher-Yorck, third phase of the Spring Offensive). After initial gains, the German advance is halted."
5/28/1918,Battle of Cantigny.
5/29/1918,Battle of Skra-di-Legen
6/1/1918,"Battle of Belleau Wood, part of the German Spring Offensive."
6/8/1918,Germany interferes in the Caucuses.
6/8/1918,Action of Arsuf.
6/9/1918,"Fourth phase of the Spring Offensive, Operation Gneisenau (aka Battle of Matz). Despite substantial territorial gains, the Germans do not achieve their strategic goals"
6/13/1918,Second Battle of the Piave: the Austro-Hungarian offensive is repelled.
6/30/1918,Battle of Moreuil Wood.
7/4/1918,Battle of Hamel.
7/14/1918,Battle of Abu Tellul.
7/15/1918,"Second Battle of the Marne and last German offensive on the Western Front, which fails when the Germans are counterattacked by the French."
7/15/1918,"Champagne-Marne Offensive (consisting of the Fourth Battle of Champagne and the Battle of the Mountain of Reims), a phase of the Second Battle of the Marne. last phase of the Spring Offensive and last German offensive of World War I."
7/17/1918,The Tsar and his family were shot early in the morning by the Bolsheviks.
7/18/1918,"Battle of Soissons,a phase of the Second Battle of the Marne."
7/18/1918,"Battle of Chateau-Thierry, a phase of the Second Battle of the Marne."
7/19/1918,"Battle of Tardenois, a phase of the Second Battle of the Marne."
8/8/1918,"Hundred Days Offensive, last offensive on Western Front."
8/8/1918,"Battle of Amiens, first phase of the Hundred Days Offensive."
8/9/1918,Battle of Montdidier.
8/13/1918,Battle of San Matteo.
8/17/1918,"Second Battle of Noyon, a phase of the Hundred Days Offensive."
8/21/1918,"Second Battle of the Somme(aka Third battle of the Somme), a phase of the Hundred Days Offensive."
8/21/1918,"Second Battle of Bapaume, a phase of the Second Battle of the Somme."
8/21/1918,"Third Battle of Albert, opening phase of the Second Battle of the Somme."
8/26/1918,"Battle of Baku, last Turkish offensive of the war."
8/26/1918,"Fourth Battle of Arras (aka Second Battle of Arras (1918)), a phase of the Second Battle of the Somme"
8/26/1918,"Fourth Battle of the Scarpe (aka Battle of the Scarpe (1918)), a phase of the Fourth Battle of Arras."
8/31/1918,"Battle of Mont Saint-Quentin, a phase of the Second Battle of the Somme."
9/1/1918,"Battle of Peronne, a phase of the Battle of Mont Saint-Quentin."
9/2/1918,"Battle of Drocourt-Queant Line, final phase of the Second Battle of the Somme."
9/10/1918,"Battle of Savy-Dallon, a phase of the Hundred Days Offensive."
9/12/1918,"Battle of Saint-Mihiel, a phase of the Hundred Days Offensive."
9/12/1918,"Battle of Havrincourt, a phase of the Hundred Days Offensive."
9/14/1918,"Vardar Offensive, final offensive on the Balkan Front."
9/14/1918,"Battle of Vauxaillon, a phase of the Hundred Days Offensive."
9/15/1918,"The Allies (French and Serbs) break through the Bulgarian lines at Dobro Polje, a phase of the Vardar Offensive."
9/18/1918,"Battle of the Hindenburg Line, a phase of the Hundred Days Offensive. The Allies break through the German lines."
9/18/1918,"Third Battle of Doiran, a phase of the Vardar Offensive, The Bulgarians halt the British and Greek advance."
9/18/1918,"Battle of Epehy, a phase of the Hundred Days Offensive."
9/19/1918,Battle of Megiddo. The British conquer Palestine.
9/19/1918,"Battle of Nablus, a phase of the Battle of Meggido."
9/19/1918,"Battle of Sharon, a phase of the Battle of Megiddo."
9/19/1918,"Third Transjordan attack, a phase of the Battle of Nablus."
9/19/1918,"Battle of Tabsor, a phase of the Battle of Sharon."
9/19/1918,"Battle of Arara, a phase of the Battle of Sharon."
9/19/1918,"Battle of Tulkarm, a phase of the Battle of Sharon."
9/20/1918,"Battle of Nazareth, a phase of the Battle of Sharon."
9/20/1918,British capture both Afulah and Beisan during the Battle of Sharon.
9/20/1918,"Capture of Jenin, a phase of the Battle of Sharon."
9/22/1918,The British capture Jisr ed Damieh in the Battle of Sharon.
9/23/1918,"Battle of Haifa, a phase of the Battle of Sharon."
9/25/1918,"Battle of Samakh, a phase of the Battle of Sharon."
9/25/1918,"Second Battle of Amman, a phase of the Third Transjordan Attack."
9/25/1918,The British capture Tiberias during the Battle of Sharon.
9/26/1918,"Meuse-Argonne Offensive, the final phase of the Hundred Days Offensive and of World War I."
9/26/1918,The British enter Damascus.
9/26/1918,British capture Deraa during the Capture of Damascus.
9/26/1918,Battle of Somme-Py (Initial phase of the Meuse-Argonne Offensive).
9/26/1918,"Charge at Irbid, a phase of the Capture of Damascus."
9/27/1918,"Battle of the Canal du Nord, a phase of the Battle of the Hindenburg Line."
9/27/1918,"Battle of Jisr Benat Yakub, a phase of the Capture of Damascus."
9/28/1918,"Fifth Battle of Ypres (aka Advance on Flanders), a phase of the Battle of the Hindenburg Line."
9/29/1918,"Battle of St. Quentin Canal, a phase of the Hundred Days Offensive."
9/30/1918,Battle of Saint-Thierry (Initial phase of the Meuse-Argonne Offensive).
9/30/1918,Bulgaria signs an armistice with the Allies.
9/30/1918,"Charge at Kaukab, a phase of the Capture of Damascus."
9/30/1918,"Charge at Kiswe, a phase of the Capture of Damascus."
10/3/1918,Battle of Blanc Mont Ridge.
10/3/1918,Pursuit to Haritan.
10/8/1918,"Second Battle of Cambrai (aka Battle of Cambrai (1918)), a phase of the Battle of the Hindenburg Line."
10/14/1918,"Battle of Courtrai, closing phase of the Hundred Days offensive."
10/14/1918,Battle of Montfaucon (intermediate phase of the Meuse-Argonne Offensive).
10/15/1918,"Battle of Mont-D'Origny, a phase of the Hundred Days Offensive."
10/17/1918,"Battle of the Selle, closing phase of the Hundred Days Offensive."
10/20/1918,"Battle of Lys and Escaut (Which included the Second Battle of Lys and the Battle of the Escaut), a phase of the Hundred Days Offensive."
10/20/1918,"Battle of Serre, a phase of the Hundred Days Offensive."
10/20/1918,Germany suspends submarine warfare.
10/23/1918,Battle of Sharqat.
10/24/1918,Battle of Vittorio Veneto. The Austro-Hungarian army is routed. The Italians enter Trent and land at Triest.
10/24/1918,"SecondBattle of Monte Grappa, beginning phase of Vittorio Veneto."
10/25/1918,Battle of Aleppo.
10/29/1918,Germany's Hochseeflotte mutinies.
10/29/1918,"State of Slovenes, Croats and Serbs proclaimed."
10/29/1918,Wilhelm Groener replaces Erich Ludendorff as Hindenburg's deputy.
10/30/1918,The Ottoman Empire signs the Armistice of Mudros.
11/1/1918,"Battle of Valenciennes, closing phase of the Hundred Days Offensive."
11/1/1918,Battle of Chesne (Closing phase of the Meuse-Argonne Offensive).
11/3/1918,"Austria-Hungary signs the armistice with Italy, effective November 4."
11/4/1918,"Battle of the Sambre, closing phase of the Hundred Days Offensive."
11/4/1918,"Battle of Thierache, a phase of the Battle of Sambre."
11/4/1918,"Second Battle of Guise, a phase of the Battle of Sambre."
11/6/1918,Advance to the Meuse.
11/9/1918,Germany: Kaiser William II abdicates; republic proclaimed.
11/10/1918,Austria-Hungary: Kaiser Charles I abdicates.
11/11/1918,"At 6 am, Germany signs the Armistice of Compi??gne. End of fighting at 11 a.m.."
11/11/1918,Poland proclaimed.
11/12/1918,Austria proclaimed a republic.
11/14/1918,"3 days after the armistice, fighting ends in the East African theater when General von Lettow-Vorbeck agrees a cease-fire on hearing of Germany's surrender."
11/14/1918,German U-boats interned.
11/14/1918,Czechoslovakia proclaimed a republic.
11/21/1918,Germany's Hochseeflotte surrendered to the United Kingdom.
11/22/1918,The Germans evacuate Luxembourg.
11/25/1918,"11 days after agreeing a cease-fire, General von Lettow-Vorbeck formally surrenders his undefeated army at Abercorn in present-day Zambia."
11/27/1918,The Germans evacuate Belgium.
12/1/1918,"Kingdom of Serbs, Croats and Slovenes proclaimed."
1/10/1919,Fakhri Pasha surrenders at Medina.
1/18/1919,Treaty of Versailles between the Allies and Germany: the Peace Conference opens in Paris.
1/25/1919,Proposal to create the League of Nations accepted.
6/21/1919,"German High Seas Fleet (53 ships) scuttled in Scapa Flow with nine deaths, the last casualties of the war."
6/28/1919,Treaty of Versailles signed.
7/8/1919,Germany ratifies the Treaty of Versailles.
7/21/1919,The United Kingdom ratifies the Treaty of Versailles.
11/10/1919,A Banquet in Honour of The President of the French Republic was hosted by King George V and held at Buckingham Palace during the evening hours of November 10. The very first Armistice Day was held on the Grounds of Buckingham Palace on the Morning of November 11. This would set the trend for a day of Remembrance or Remembrance Day for decades to come.
1/10/1920,First meeting of the League of Nations held in London. Official end of World War I.
1/10/1920,Free City of Danzig established.
1/21/1920,The Paris Peace Conference ends.
2/10/1920,A plebiscite returns Northern Schleswig to Denmark.
4/19/1920,"Conference of Sanremo, Italy, about League of Nations mandates in former Ottoman territories of the Middle East."
6/4/1920,Treaty of Trianon between the Allies and Hungary.
8/10/1920,"Treaty of S??vres between the Allies and the Ottoman Empire. The treaty is not recognized by the Turkish national movement, which considers the Istanbul government illegitimate."
9/8/1920,Gabriele D'Annunzio proclaims in Fiume the Italian Regency of Carnaro.
11/1/1920,"League of Nations headquarters moved to Geneva, Switzerland."
11/12/1920,Treaty of Rapallo between Italy and Yugoslavia. Zadar is annexed by Italy and the Free State of Fiume is established.
11/15/1920,The League of Nations holds its first general assembly.
